Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Accipiter cooperii,"Bonaparte, 1828",NA,Cooper's hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Accipiter,cooperii,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-09-01,Karolle Wall,iNat:4014861,,5112,BIR
Accipiter gentilis,"Linnaeus, 1758",NA,northern goshawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Accipiter,gentilis,NA,,NA,native,"S4B,S4N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,5108,BIR
Accipiter striatus,"Vieillot, 1808",NA,sharp-shinned hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Accipiter,striatus,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-04-12,Sarah Tweedale,iNat:2929563,,5097,BIR
Aquila chrysaetos,"Linnaeus, 1758",NA,golden eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Aquila,chrysaetos,NA,,NA,native,S4S5 (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,5074,BIR
Buteo jamaicensis,"(Gmelin, 1788)",NA,red-tailed hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Buteo,jamaicensis,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-07-27,Cameron Deckert,iNat:19139396,,5212,BIR
Circus hudsonius,"(Linnaeus, 1766)",NA,northern harrier,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Circus,hudsonius,NA,,NA,native,S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-07-16,Kevin Toomer,iNat:14433258,,558446,BIR
Haliaeetus leucocephalus washingtoniensis,"(Linnaeus, 1766)",NA,bald eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Haliaeetus,leucocephalus,NA,washingtoniensis,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-05-17,lesfreck,iNat:86514778,,126771,BIR
Psaltriparus minimus,"(Townsend, 1837)",NA,bushtit,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Aegithalidae,,,Psaltriparus,minimus,NA,,NA,native,S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2013-04-14,Michael Hoebel,iNat:4046836,,7266,BIR
Eremophila alpestris,"(Linnaeus, 1758)",NA,horned lark,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Alaudidae,,,Eremophila,alpestris,NA,,NA,native,S5?B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-09-16,Michael Hoebel,iNat:19548104,,7294,BIR
Megaceryle alcyon,"(Linnaeus, 1758)",NA,belted kingfisher,Animalia,Chordata,Vertebrata,,Aves,,,Coraciiformes,,,Alcedinidae,,,Megaceryle,alcyon,NA,,NA,native,S4S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-07-28,Karolle Wall,iNat:97176968,,2548,BIR
Brachyramphus marmoratus,"(Gmelin, 1789)",NA,marbled murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,Brachyramphus,marmoratus,NA,,NA,native,"S3B,S3N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-12-20,Andrew Simon,iNat:2562765,,4531,BIR
Cepphus columba,"Pallas, 1811",NA,pigeon guillemot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,Cepphus,columba,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-05-23,Steve Murray,iNat:149950925,,4415,BIR
Cerorhinca monocerata,"Pallas, 1811",NA,rhinoceros auklet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,Cerorhinca,monocerata,NA,,NA,native,S4 (2016),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-04-22,Michael Hoebel,iNat:19548007,,4553,BIR
Synthliboramphus antiquus,"(Gmelin, 1789)",NA,ancient murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,Synthliboramphus,antiquus,NA,,NA,native,"S2S3B,S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-10-26,W. Cartwright,iNat:35634215,,4561,BIR
Uria aalge,"(Pontoppidan, 1763)",NA,common murre,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,Uria,aalge,NA,,NA,native,"S2B,S3S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-11-28,bobmcd’,iNat:2437278,,4519,BIR
Aix sponsa,"(Linnaeus, 1758)",NA,wood duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Aix,sponsa,NA,,NA,native,"S4B,S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-06-03,cmac79’,iNat:13198092,,7107,BIR
Anas acuta,"Linnaeus, 1758",NA,northern pintail,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anas,acuta,NA,,NA,native,"S4B,S5N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,6933,BIR
Anas crecca crecca,"Linnaeus, 1758",NA,Eurasian green-winged teal,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anas,crecca,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-12-29,Andrew Simon,iNat:37084654,rare winter species,6937,BIR
Anas crecca carolinensis,"Gmelin, 1789",NA,green-winged teal,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anas,crecca,NA,carolinensis,NA,native,"S5B,S5N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,123676,BIR
Anas platyrhynchos,"Linnaeus, 1758",NA,mallard,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anas,platyrhynchos,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-02-04,Kris Krüg,iNat:2644712,,6930,BIR
Anser albifrons,"(Scopoli, 1769)",NA,greater white-fronted goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anser,albifrons,NA,,NA,native,S4M (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-09-27,Michael Hoebel,iNat:4046931,,7019,BIR
Anser caerulescens,"(Linnaeus, 1758)",NA,snow goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anser,caerulescens,NA,,NA,native,S4M (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,558426,BIR
Aythya affinis,"(Eyton, 1838)",NA,lesser scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Aythya,affinis,NA,,NA,native,"S5B,S5N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,7054,BIR
Aythya collaris,"(Donovan, 1809)",NA,ring-necked duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Aythya,collaris,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-05-10,Michael Hoebel,iNat:4046933,,7044,BIR
Aythya marila,"(Linnaeus, 1761)",NA,greater scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Aythya,marila,NA,,NA,native,S4N (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,7047,BIR
Branta canadensis,"(Linnaeus, 1758)",NA,Canada goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Branta,canadensis,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2007-01-10,Shera Street,iNat:2635233,,7089,BIR
Branta hutchinsii,"(Richardson, 1832)",NA,cackling goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Branta,hutchinsii,NA,,NA,native,S4S5M (2015),NA,reported,unobserved,2017-05-07,Nancy Tamblyn,eBird,,NA,,,,,59220,BIR
Bucephala albeola,"(Linnaeus, 1758)",NA,bufflehead,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Bucephala,albeola,NA,,NA,native,"S5B, SNRN (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-02-19,Michael Hoebel,iNat:4046948,,6993,BIR
Bucephala clangula,"(Linnaeus, 1758)",NA,common goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Bucephala,clangula,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-04-19,B. J. Stacey,iNat:167229,,6990,BIR
Bucephala islandica,"(Gmelin, 1789)",NA,barrow's goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Bucephala,islandica,NA,,NA,native,S4S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-02-04,Kris Krüg,iNat:2644709,,6994,BIR
